date,coin,price,volume,market_cap
2025-04-17 00:00:00,BNB,582.9884895445316,590793445.4085172,85049370657.6528
2025-04-18 00:00:00,BNB,590.1449424870344,523349165.51611936,86081949800.71457
2025-04-19 00:00:00,BNB,591.7558249048697,560183796.0745611,86330575658.80789
2025-04-20 00:00:00,BNB,592.1191922418601,359734262.96070373,86381923216.81198
2025-04-21 00:00:00,BNB,592.9015532596577,427574407.8731377,86496970287.17703
2025-04-22 00:00:00,BNB,596.742721454172,608725679.9225554,87021203902.98009
2025-04-23 00:00:00,BNB,617.6497009116878,924934985.74546,90107417553.42468
2025-04-24 00:00:00,BNB,606.1742820090113,1089223877.3345106,88439293572.85298
2025-04-25 00:00:00,BNB,602.1970676660677,775858994.180891,87859769311.30173
2025-04-26 00:00:00,BNB,600.1913883958081,941984394.0665632,87558071175.70674
2025-04-27 00:00:00,BNB,607.8085377229048,632964213.2153282,88667686776.55707
2025-04-28 00:00:00,BNB,603.5371460135477,548378967.0336518,88050307610.3246
2025-04-29 00:00:00,BNB,606.1285517158251,532276423.2081352,88463722939.12578
2025-04-30 00:00:00,BNB,600.5889575399475,779335060.0841132,87546780933.0503
2025-05-01 00:00:00,BNB,599.6302002732988,717769059.8961756,87499897859.30899
2025-05-02 00:00:00,BNB,599.5796914410877,586779850.2435153,87470023825.68498
2025-05-03 00:00:00,BNB,601.3244678537958,609320858.6024743,87726526469.18716
2025-05-04 00:00:00,BNB,599.2468842902798,383958586.52879804,87420518611.57309
2025-05-05 00:00:00,BNB,585.8899216562841,541509182.9932485,85450932663.94621
2025-05-06 00:00:00,BNB,597.9661578698278,712215748.698297,87237859436.31647
2025-05-07 00:00:00,BNB,603.0175211984405,821085162.8042526,87972764326.53542
2025-05-08 00:00:00,BNB,603.144369158166,717897444.1413444,87977963458.44826
2025-05-09 00:00:00,BNB,628.2798237375861,1315286906.535402,91592064513.423
2025-05-10 00:00:00,BNB,666.6606824091106,1717143713.0552378,97261112461.87195
2025-05-11 00:00:00,BNB,662.3379085253329,1549618220.9985394,96607586360.37282
2025-05-12 00:00:00,BNB,650.8664613901699,1186159482.5022006,94954778272.58717
2025-05-13 00:00:00,BNB,660.9533536861077,1968342045.487355,96431520974.64899
2025-05-14 00:00:00,BNB,666.2402578411695,1513422041.332075,97186035699.10747
2025-05-15 00:00:00,BNB,651.6490150180347,1223304236.5479276,95059799661.72646
2025-05-16 00:00:00,BNB,651.1362648113163,1206761924.2527664,94940045438.48773
2025-05-17 00:00:00,BNB,647.3412018782846,900231018.9448881,94455033828.49246
2025-05-18 00:00:00,BNB,639.5979769763185,679492837.9963502,93330577215.08232
2025-05-19 00:00:00,BNB,649.3806686821907,835970956.2085127,94612727897.71045
2025-05-20 00:00:00,BNB,651.0389804540937,825481514.59589,94981431402.74107
2025-05-21 00:00:00,BNB,650.951301036078,763647929.5303316,94965618935.81247
2025-05-22 00:00:00,BNB,674.7138326551593,1565136776.7436197,98432365398.04092
2025-05-23 00:00:00,BNB,686.0302393255067,1382711893.5086522,100085321215.1117
2025-05-24 00:00:00,BNB,655.3681110510369,1217926335.781693,95613306965.6267
2025-05-25 00:00:00,BNB,667.9647953294073,693430871.7905037,97476274852.89873
2025-05-26 00:00:00,BNB,670.0121393931087,768619050.9190482,97751564279.60323
2025-05-27 00:00:00,BNB,673.7837605333261,666132639.4545316,98296679430.87682
2025-05-28 00:00:00,BNB,687.4363026293119,1078653384.123821,100298731784.84161
2025-05-29 00:00:00,BNB,687.631059296252,824780509.8660014,100335504950.89148
2025-05-30 00:00:00,BNB,675.4110812815895,995474417.0429969,98510865071.53929
2025-05-31 00:00:00,BNB,656.2031380761879,923659967.2299035,95726822897.51685
2025-06-01 00:00:00,BNB,658.5726942750157,589938636.7962121,96080182534.47751
2025-06-02 00:00:00,BNB,661.3452261434389,513744446.15491945,96509769841.11876
2025-06-03 00:00:00,BNB,666.0561104906627,550346321.1131796,97164288190.66109
2025-06-04 00:00:00,BNB,661.17332497159,717080413.430261,96448470573.61153
2025-06-05 00:00:00,BNB,663.70338541173,585654885.1918986,96818655325.17992
2025-06-06 00:00:00,BNB,634.1479715861758,1050942219.4544812,92528733228.30528
2025-06-07 00:00:00,BNB,643.7566841456504,828491539.5454317,93918845142.08775
2025-06-08 00:00:00,BNB,650.7937997932994,464282809.21614456,94946550697.756
2025-06-09 00:00:00,BNB,652.274428548494,277471527.06296444,95162483374.16092
2025-06-10 00:00:00,BNB,666.3374143222443,720838499.864964,97228659760.41823
2025-06-11 00:00:00,BNB,673.4760595844963,915030301.0453427,98246414096.53857
2025-06-12 00:00:00,BNB,667.7388930109494,926482996.0464325,97396778654.55505
2025-06-13 00:00:00,BNB,656.4804964003403,833602957.1016513,95779026195.60716
2025-06-14 00:00:00,BNB,654.9095462616511,1091022440.7624466,95536361449.31184
2025-06-15 00:00:00,BNB,645.8086677048335,465113546.69991523,94233719227.42334
2025-06-16 00:00:00,BNB,648.2042600997396,342983199.2537816,94569766054.11093
2025-06-17 00:00:00,BNB,651.4813571171453,677081516.7980691,95211381338.87088
2025-06-18 00:00:00,BNB,648.799470473488,919084069.2175109,94651882459.78012
2025-06-19 00:00:00,BNB,643.7728727892951,805534251.3963257,93914603189.19572
2025-06-20 00:00:00,BNB,644.3626647131019,530108876.6028053,94038287566.09367
2025-06-21 00:00:00,BNB,641.4660754156638,566416175.4191926,93579216011.8553
2025-06-22 00:00:00,BNB,626.5687672231079,506048055.8076519,91275068281.2763
2025-06-23 00:00:00,BNB,615.9200839908369,1152325722.5588028,89858565946.78096
2025-06-24 00:00:00,BNB,640.2543180324582,1018106255.6202904,93384461253.8329
2025-06-25 00:00:00,BNB,643.4133640920619,541068316.461594,93854693466.93323
2025-06-26 00:00:00,BNB,645.8665732235779,827204901.7289867,94213865677.2479
2025-06-27 00:00:00,BNB,642.4572030728536,624553271.4953628,93722988687.98412
2025-06-28 00:00:00,BNB,645.9995550778237,506712411.6691133,94241465985.32014
2025-06-29 00:00:00,BNB,648.766805209224,346225669.1301844,94647807214.77576
2025-06-30 00:00:00,BNB,655.0764136195659,422629715.33849674,95568417529.12051
2025-07-01 00:00:00,BNB,657.0109566115938,695153815.9147367,95851253503.23659
2025-07-02 00:00:00,BNB,646.1777891600059,581547247.9770566,94270479419.54607
2025-07-03 00:00:00,BNB,660.0254823640146,758146950.3828626,96288135477.05896
2025-07-04 00:00:00,BNB,663.0154690088326,713062571.7212918,96722558238.7678
2025-07-05 00:00:00,BNB,653.1616270479346,635866546.3146216,95281695660.61313
2025-07-06 00:00:00,BNB,655.9253698398683,367646275.07166517,95693799964.02425
2025-07-07 00:00:00,BNB,663.0185149322261,562060051.2427313,96725240650.71089
2025-07-08 00:00:00,BNB,661.2876967099644,646920102.0613401,96456273360.42487
2025-07-09 00:00:00,BNB,660.7042150664093,659569899.7140087,96371665854.3558
2025-07-10 00:00:00,BNB,669.2613994307441,641678068.1682327,97575907951.41354
2025-07-11 00:00:00,BNB,685.1054482111715,1137433259.720816,99945907459.49225
2025-07-12 00:00:00,BNB,689.8418420972016,1909585413.5492668,100618288747.50497
2025-07-13 00:00:00,BNB,685.4703165458919,1045215775.1037439,100001602756.8841
2025-07-14 00:00:00,BNB,692.0429275667424,827022284.8266991,100931809897.69768
2025-07-15 00:00:00,BNB,689.3152771073793,1871816396.541036,100564286673.74365
2025-07-16 00:00:00,BNB,689.863427315096,1508842031.6879208,100743249710.19092
2025-07-17 00:00:00,BNB,708.5580809732663,1723439341.1205275,103380492819.6281
2025-07-18 00:00:00,BNB,722.3981283678474,2159930031.483713,105397429062.45035
